To Remove,United States Senator - Democrat,To Remove 2,Lieutenant Governor - Democrat,To Remove 3,To Remove 4,To Remove 5,To Remove 6,To Remove 7,division
Nina Ahmad,,,,,2,0,0,0,9
John Fetterman,,,,,,2,0,0,9
Ray Sosa,,,,,,,1,0,9
Total,31,1,12,12,8,4,1,0,9
,United States Senator - Democrat,,Lieutenant Governor - Democrat,,,,,0,10
,Bob Casey Jr,Write In,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,0,10
Bob Casey Jr,4,0,10,5,3,1,0,0,10
Write In,,1,0,0,0,0,0,0,10
Mike Stack,,,1,0,0,0,0,0,10
Kathi Cozzone,,,,1,0,0,0,0,10
Nina Ahmad,,,,,2,0,0,0,10
John Fetterman,,,,,,2,0,0,10
Ray Sosa,,,,,,,1,0,10
Total,27,1,12,7,6,4,1,0,10
,United States Senator - Democrat,,Lieutenant Governor - Democrat,,,,,0,11
,Bob Casey Jr,Write In,Mike Stack,John Fetterman,Nina Ahmad,Kathi Cozzone,Ray Sosa,0,11
Bob Casey Jr,3,0,7,4,4,0,0,0,11
Write In,,1,0,0,0,0,0,0,11
Mike Stack,,,3,0,0,0,0,0,11
John Fetterman,,,,2,0,0,0,0,11
Nina Ahmad,,,,,1,0,0,0,11
Kathi Cozzone,,,,,,1,0,0,11
Ray Sosa,,,,,,,1,0,11
Total,22,1,11,7,6,2,1,0,11
,United States Senator - Democrat,,Lieutenant Governor - Democrat,,,,,0,12
,Bob Casey Jr,Write In,Mike Stack,Kathi Cozzone,John Fetterman,Ray Sosa,Nina Ahmad,0,12
Bob Casey Jr,4,0,10,5,3,1,1,0,12
Write In,,1,0,0,0,0,0,0,12
Mike Stack,,,4,0,0,0,0,0,12
Kathi Cozzone,,,,1,0,0,0,0,12
John Fetterman,,,,,1,0,0,0,12
Ray Sosa,,,,,,2,0,0,12
Nina Ahmad,,,,,,,1,0,12
Total,29,1,15,7,5,4,3,0,12
,United States Senator - Democrat,,Lieutenant Governor - Democrat,,,,,0,13
,Bob Casey Jr,Write In,John Fetterman,Mike Stack,Kathi Cozzone,Nina Ahmad,Ray Sosa,0,13
Bob Casey Jr,6,0,6,5,3,1,0,0,13
Write In,,1,0,0,0,0,0,0,13
John Fetterman,,,1,0,0,0,0,0,13
Mike Stack,,,,2,0,0,0,0,13
Kathi Cozzone,,,,,2,0,0,0,13
Nina Ahmad,,,,,,1,0,0,13
Ray Sosa,,,,,,,1,0,13
Total,26,1,8,8,6,3,2,0,13
,United States Senator - Democrat,,Lieutenant Governor - Democrat,,,,,0,14
,Bob Casey Jr,Write In,Kathi Cozzone,Mike Stack,John Fetterman,Nina Ahmad,Ray Sosa,0,14
Bob Casey Jr,2,0,13,12,1,0,0,0,14
Write In,,1,0,0,0,0,0,0,14
Kathi Cozzone,,,1,0,0,0,0,0,14
Mike Stack,,,,2,0,0,0,0,14
John Fetterman,,,,,2,0,0,0,14
Nina Ahmad,,,,,,3,0,0,14
Ray Sosa,,,,,,,1,0,14
Total,31,2,15,15,5,3,1,0,14
,United States Senator - Democrat,,Lieutenant Governor - Democrat,,,,,0,15
,Bob Casey Jr,Write In,Mike Stack,Kathi Cozzone,Nina Ahmad,Ray Sosa,John Fetterman,0,15
Bob Casey Jr,5,0,5,4,2,0,0,0,15
Write In,,1,0,0,0,0,0,0,15
Mike Stack,,,1,0,0,0,0,0,15
Kathi Cozzone,,,,1,0,0,0,0,15
Nina Ahmad,,,,,3,0,0,0,15
Ray Sosa,,,,,,1,0,0,15
John Fetterman,,,,,,,1,0,15
Total,20,1,7,6,6,2,1,0,15
,United States Senator - Democrat,,Lieutenant Governor - Democrat,,,,,0,16
,Bob Casey Jr,Write In,Kathi Cozzone,John Fetterman,Mike Stack,Ray Sosa,Nina Ahmad,0,16
Bob Casey Jr,1,0,4,0,0,0,0,0,16
Write In,,1,0,0,0,0,0,0,16
Kathi Cozzone,,,2,0,0,0,0,0,16
John Fetterman,,,,1,0,0,0,0,16
Mike Stack,,,,,1,0,0,0,16
Ray Sosa,,,,,,1,0,0,16
Nina Ahmad,,,,,,,1,0,16
Total,9,1,7,2,2,2,1,0,16
,United States Senator - Democrat,,Lieutenant Governor - Democrat,,,,,0,17
,Bob Casey Jr,Write In,Mike Stack,John Fetterman,Kathi Cozzone,Nina Ahmad,Ray Sosa,0,17
Bob Casey Jr,2,0,4,0,0,0,0,0,17
Write In,,1,0,0,0,0,0,0,17
Mike Stack,,,1,0,0,0,0,0,17
John Fetterman,,,,1,0,0,0,0,17
Kathi Cozzone,,,,,1,0,0,0,17
Nina Ahmad,,,,,,1,0,0,17
Ray Sosa,,,,,,,1,0,17
Total,10,1,6,2,2,2,1,0,17
,United States Senator - Democrat,,Lieutenant Governor - Democrat,,,,,0,18
,Bob Casey Jr,Write In,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,0,18
Bob Casey Jr,2,0,5,3,1,0,0,0,18
Write In,,1,0,0,0,0,0,0,18
Mike Stack,,,2,0,0,0,0,0,18
Kathi Cozzone,,,,1,0,0,0,0,18
Nina Ahmad,,,,,1,0,0,0,18
John Fetterman,,,,,,1,0,0,18
Ray Sosa,,,,,,,1,0,18
Total,14,1,8,5,3,1,1,0,18
,United States Senator - Democrat,,Lieutenant Governor - Democrat,,,,,0,19
,Bob Casey Jr,Write In,Mike Stack,Kathi Cozzone,Ray Sosa,John Fetterman,Nina Ahmad,0,19
Bob Casey Jr,3,0,9,2,0,0,0,0,19
Write In,,1,0,0,0,0,0,0,19
Mike Stack,,,6,0,0,0,0,0,19
Kathi Cozzone,,,,1,0,0,0,0,19
Ray Sosa,,,,,2,0,0,0,19
John Fetterman,,,,,,1,0,0,19
Nina Ahmad,,,,,,,1,0,19
Total,16,1,16,4,2,1,1,0,19
,United States Senator - Democrat,,Lieutenant Governor - Democrat,,,,,0,20
,Bob Casey Jr,Write In,Mike Stack,John Fetterman,Kathi Cozzone,Nina Ahmad,Ray Sosa,0,20
Bob Casey Jr,1,0,3,0,0,0,0,0,20
Write In,,1,0,0,0,0,0,0,20
Mike Stack,,,1,0,0,0,0,0,20
John Fetterman,,,,1,0,0,0,0,20
Kathi Cozzone,,,,,1,0,0,0,20
Nina Ahmad,,,,,,1,0,0,20
Ray Sosa,,,,,,,1,0,20
Total,8,1,5,2,2,2,1,0,20
,United States Senator - Democrat,,Lieutenant Governor - Democrat,,,,,0,21
,Bob Casey Jr,Write In,Mike Stack,Kathi Cozzone,Nina Ahmad,Ray Sosa,John Fetterman,0,21
Bob Casey Jr,2,0,6,0,0,0,0,0,21
Write In,,1,0,0,0,0,0,0,21
Mike Stack,,,1,0,0,0,0,0,21
Kathi Cozzone,,,,1,0,0,0,0,21
Nina Ahmad,,,,,1,0,0,0,21
Ray Sosa,,,,,,1,0,0,21
John Fetterman,,,,,,,1,0,21
Total,12,1,8,2,2,2,1,0,21
,United States Senator - Democrat,,Lieutenant Governor - Democrat,,,,,0,22
,Bob Casey Jr,Write In,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,0,22
Bob Casey Jr,3,0,7,4,0,0,0,0,22
Write In,,1,0,0,0,0,0,0,22
Mike Stack,,,1,0,0,0,0,0,22
Kathi Cozzone,,,,2,0,0,0,0,22
John Fetterman,,,,,1,0,0,0,22
Nina Ahmad,,,,,,1,0,0,22
Ray Sosa,,,,,,,1,0,22
Total,18,1,9,7,2,2,1,0,22
,United States Senator - Democrat,,Lieutenant Governor - Democrat,,,,,0,23
,Bob Casey Jr,Write In,Mike Stack,Kathi Cozzone,John Fetterman,Ray Sosa,Nina Ahmad,0,23
Bob Casey Jr,1,0,12,2,0,0,0,0,23
Write In,,1,0,0,0,0,0,0,23
Mike Stack,,,1,0,0,0,0,0,23
Kathi Cozzone,,,,1,0,0,0,0,23
John Fetterman,,,,,2,0,0,0,23
Ray Sosa,,,,,,1,0,0,23
Nina Ahmad,,,,,,,1,0,23
Total,19,1,14,4,3,2,1,0,23
,United States Senator - Democrat,,Lieutenant Governor - Democrat,,,,,0,24
,Bob Casey Jr,Write In,Kathi Cozzone,Mike Stack,Nina Ahmad,John Fetterman,Ray Sosa,0,24
Bob Casey Jr,1,0,2,1,0,0,0,0,24
Write In,,1,0,0,0,0,0,0,24
Kathi Cozzone,,,1,0,0,0,0,0,24
Mike Stack,,,,1,0,0,0,0,24
Nina Ahmad,,,,,1,0,0,0,24
John Fetterman,,,,,,1,0,0,24
Ray Sosa,,,,,,,1,0,24
Total,7,1,4,3,2,1,1,0,24
