col_1,col_2,col_3,order,division
,Representative In Congress 2nd District - Democrat,,1,11
,Brendan F Boyle,Michele Lawrence,2,11
Brendan F Boyle,37,0,3,11
Michele Lawrence,,10,4,11
Total,37,10,5,11
,Representative In Congress 2nd District - Democrat,,1,12
,Brendan F Boyle,Michele Lawrence,2,12
Brendan F Boyle,32,0,3,12
Michele Lawrence,,13,4,12
Total,32,13,5,12
,Representative In Congress 2nd District - Democrat,,1,13
,Brendan F Boyle,Michele Lawrence,2,13
Brendan F Boyle,38,0,3,13
Michele Lawrence,,10,4,13
Total,38,10,5,13
,Representative In Congress 2nd District - Democrat,,1,14
,Brendan F Boyle,Michele Lawrence,2,14
Brendan F Boyle,51,0,3,14
Michele Lawrence,,12,4,14
Total,51,12,5,14
,Representative In Congress 2nd District - Democrat,,1,15
,Brendan F Boyle,Michele Lawrence,2,15
Brendan F Boyle,49,0,3,15
Michele Lawrence,,11,4,15
Total,49,11,5,15
,Representative In Congress 2nd District - Democrat,,1,16
,Brendan F Boyle,Michele Lawrence,2,16
Brendan F Boyle,21,0,3,16
Michele Lawrence,,6,4,16
Total,21,6,5,16
,Representative In Congress 2nd District - Democrat,,1,17
,Brendan F Boyle,Michele Lawrence,2,17
Brendan F Boyle,20,0,3,17
Michele Lawrence,,3,4,17
Total,20,3,5,17
,Representative In Congress 2nd District - Democrat,,1,18
,Brendan F Boyle,Michele Lawrence,2,18
Brendan F Boyle,47,0,3,18
Michele Lawrence,,9,4,18
Total,47,9,5,18
,Representative In Congress 2nd District - Democrat,,1,19
,Brendan F Boyle,Michele Lawrence,2,19
Brendan F Boyle,28,0,3,19
Michele Lawrence,,15,4,19
Total,28,15,5,19
,Representative In Congress 2nd District - Democrat,,1,20
,Brendan F Boyle,Michele Lawrence,2,20
Brendan F Boyle,37,0,3,20
Michele Lawrence,,13,4,20
Total,37,13,5,20
,Representative In Congress 2nd District - Democrat,,1,21
,Brendan F Boyle,Michele Lawrence,2,21
Brendan F Boyle,80,0,3,21
Michele Lawrence,,26,4,21
Total,80,26,5,21
,Representative In Congress 2nd District - Democrat,,1,22
,Brendan F Boyle,Michele Lawrence,2,22
Brendan F Boyle,52,0,3,22
Michele Lawrence,,7,4,22
Total,52,7,5,22
,Representative In Congress 2nd District - Democrat,,1,23
,Brendan F Boyle,Michele Lawrence,2,23
Brendan F Boyle,41,0,3,23
Michele Lawrence,,9,4,23
Total,41,9,5,23
,Representative In Congress 2nd District - Democrat,,1,24
,Brendan F Boyle,Michele Lawrence,2,24
Brendan F Boyle,26,0,3,24
Michele Lawrence,,8,4,24
Total,26,8,5,24
,Representative In Congress 2nd District - Democrat,,1,25
,Brendan F Boyle,Michele Lawrence,2,25
Brendan F Boyle,45,0,3,25
Michele Lawrence,,14,4,25
Total,45,14,5,25
,Representative In Congress 2nd District - Democrat,,1,26
,Brendan F Boyle,Michele Lawrence,2,26
Brendan F Boyle,50,0,3,26
Michele Lawrence,,14,4,26
Total,50,14,5,26
,Representative In Congress 2nd District - Democrat,,1,27
,Brendan F Boyle,Michele Lawrence,2,27
Brendan F Boyle,16,0,3,27
Michele Lawrence,,8,4,27
Total,16,8,5,27
,Representative In Congress 2nd District - Democrat,,1,28
,Brendan F Boyle,Michele Lawrence,2,28
Brendan F Boyle,41,0,3,28
Michele Lawrence,,16,4,28
Total,41,16,5,28
,Representative In Congress 2nd District - Democrat,,1,29
,Brendan F Boyle,Michele Lawrence,2,29
Brendan F Boyle,56,0,3,29
Michele Lawrence,,17,4,29
Total,56,17,5,29
,Representative In Congress 2nd District - Democrat,,1,30
,Brendan F Boyle,Michele Lawrence,2,30
Brendan F Boyle,26,0,3,30
Michele Lawrence,,11,4,30
Total,26,11,5,30
,Representative In Congress 2nd District - Democrat,,1,31
,Brendan F Boyle,Michele Lawrence,2,31
Brendan F Boyle,41,0,3,31
Michele Lawrence,,13,4,31
Total,41,13,5,31
,Representative In Congress 2nd District - Democrat,,1,32
,Brendan F Boyle,Michele Lawrence,2,32
Brendan F Boyle,34,0,3,32
Michele Lawrence,,8,4,32
Total,34,8,5,32
,Representative In Congress 2nd District - Democrat,,1,33
,Brendan F Boyle,Michele Lawrence,2,33
Brendan F Boyle,53,0,3,33
Michele Lawrence,,8,4,33
Total,53,8,5,33
,Representative In Congress 2nd District - Democrat,,1,34
,Brendan F Boyle,Michele Lawrence,2,34
Brendan F Boyle,30,0,3,34
Michele Lawrence,,5,4,34
Total,30,5,5,34
,Representative In Congress 2nd District - Democrat,,1,35
,Brendan F Boyle,Michele Lawrence,2,35
Brendan F Boyle,33,0,3,35
Michele Lawrence,,9,4,35
Total,33,9,5,35
,Representative In Congress 2nd District - Democrat,,1,36
,Brendan F Boyle,Michele Lawrence,2,36
Brendan F Boyle,53,0,3,36
Michele Lawrence,,14,4,36
Total,53,14,5,36
,Representative In Congress 2nd District - Democrat,,1,37
,Brendan F Boyle,Michele Lawrence,2,37
Brendan F Boyle,23,0,3,37
Michele Lawrence,,10,4,37
Total,23,10,5,37
,Representative In Congress 2nd District - Democrat,,1,38
,Brendan F Boyle,Michele Lawrence,2,38
Brendan F Boyle,44,0,3,38
Michele Lawrence,,6,4,38
Total,44,6,5,38
,Representative In Congress 2nd District - Democrat,,1,39
,Brendan F Boyle,Michele Lawrence,2,39
Brendan F Boyle,40,0,3,39
Michele Lawrence,,14,4,39
Total,40,14,5,39
,Representative In Congress 2nd District - Democrat,,1,40
,Brendan F Boyle,Michele Lawrence,2,40
Brendan F Boyle,27,0,3,40
Michele Lawrence,,9,4,40
Total,27,9,5,40
,Representative In Congress 2nd District - Democrat,,1,41
,Brendan F Boyle,Michele Lawrence,2,41
Brendan F Boyle,55,0,3,41
Michele Lawrence,,12,4,41
Total,55,12,5,41
,Representative In Congress 2nd District - Democrat,,1,42
,Brendan F Boyle,Michele Lawrence,2,42
Brendan F Boyle,28,0,3,42
Michele Lawrence,,15,4,42
Total,28,15,5,42
,Representative In Congress 2nd District - Democrat,,1,43
,Brendan F Boyle,Michele Lawrence,2,43
Brendan F Boyle,62,0,3,43
Michele Lawrence,,17,4,43
Total,62,17,5,43
,Representative In Congress 2nd District - Democrat,,1,44
,Brendan F Boyle,Michele Lawrence,2,44
Brendan F Boyle,58,0,3,44
Michele Lawrence,,18,4,44
Total,58,18,5,44
,Representative In Congress 2nd District - Democrat,,1,45
,Brendan F Boyle,Michele Lawrence,2,45
Brendan F Boyle,21,0,3,45
Michele Lawrence,,8,4,45
Total,21,8,5,45
,Representative In Congress 2nd District - Democrat,,1,46
,Brendan F Boyle,Michele Lawrence,2,46
Brendan F Boyle,37,0,3,46
Michele Lawrence,,12,4,46
Total,37,12,5,46
