To Remove,United States Senator - Republican,To Remove 2,To Remove 3,Governor - Republican,To Remove 4,To Remove 5,To Remove 6,division
Jim Christiana,0,0,0,2,0,0,0,20
Lou Barletta,,0,0,0,0,0,0,20
Write In,,,0,0,0,0,0,20
Scott R Wagner,,,,0,0,0,0,20
Laura Ellsworth,,,,,0,0,0,20
Paul Mango,,,,,,0,0,20
Write In,,,,,,,0,20
Total,2,0,0,2,0,0,0,20
1,2,3,4,5,6,7,8,20
,United States Senator - Republican,,,Governor - Republican,,,,22
,Lou Barletta,Jim Christiana,Write In,Laura Ellsworth,Paul Mango,Scott R Wagner,Write In,22
Lou Barletta,1,0,0,0,0,0,0,22
Jim Christiana,,0,0,0,0,0,0,22
Write In,,,0,0,0,0,0,22
Laura Ellsworth,,,,0,0,0,0,22
Paul Mango,,,,,0,0,0,22
Scott R Wagner,,,,,,0,0,22
Write In,,,,,,,0,22
Total,1,0,0,0,0,0,0,22
1,2,3,4,5,6,7,8,22
,United States Senator - Republican,,,Governor - Republican,,,,24
,Jim Christiana,Lou Barletta,Write In,Scott R Wagner,Laura Ellsworth,Paul Mango,Write In,24
Jim Christiana,0,0,0,2,0,0,0,24
Lou Barletta,,0,0,0,1,0,0,24
Write In,,,0,0,0,0,0,24
Scott R Wagner,,,,0,0,0,0,24
Laura Ellsworth,,,,,0,0,0,24
Paul Mango,,,,,,0,0,24
Write In,,,,,,,0,24
Total,2,1,0,2,1,0,0,24
1,2,3,4,5,6,7,8,24
,United States Senator - Republican,,,Governor - Republican,,,,25
,Lou Barletta,Scott R Wagner,Paul Mango,Laura Ellsworth,Write In,Jim Christiana,Write In,25
Laura Ellsworth,1,0,0,0,0,1,0,25
Scott R Wagner,1,0,0,,0,0,0,25
Paul Mango,0,,0,,0,0,0,25
Write In,0,,,,0,0,0,25
Lou Barletta,0,,,,,0,0,25
Jim Christiana,,,,,,0,0,25
Write In,,,,,,,0,25
Total,2,1,0,2,0,1,0,25
1,6,3,4,2,5,7,8,25
,United States Senator - Republican,,,Governor - Republican,,,,26
,Jim Christiana,Lou Barletta,Write In,Laura Ellsworth,Paul Mango,Scott R Wagner,Write In,26
Jim Christiana,0,0,0,0,1,0,0,26
Lou Barletta,,0,0,0,0,0,0,26
Write In,,,0,0,0,0,0,26
Laura Ellsworth,,,,1,0,0,0,26
Paul Mango,,,,,0,0,0,26
Scott R Wagner,,,,,,0,0,26
Write In,,,,,,,0,26
Total,1,0,0,1,1,0,0,26
1,2,3,4,5,6,7,8,26
