V1,Kathy Coder Lieutenant Governor - Republican,Diana Irey Vaughan Lieutenant Governor - Republican,Jeff Bartos Lieutenant Governor - Republican,Peg Luksik Lieutenant Governor - Republican,Write In Lieutenant Governor - Republican,division
Peg Luksik,,,,0,0,5
Write In,,,,,0,5
Total,6,3,3,0,0,5
1,2,3,4,5,6,5
,Kathy Coder Lieutenant Governor - Republican,Diana Irey Vaughan Lieutenant Governor - Republican,Jeff Bartos Lieutenant Governor - Republican,Peg Luksik Lieutenant Governor - Republican,Write In,6
Kathy Coder,12,0,0,0,0,6
Jeff Bartos,,0,11,0,0,6
Diana Irey Vaughan,,2,,0,0,6
Peg Luksik,,,,0,0,6
Write In,,,,,0,6
Total,12,2,11,0,0,6
1,2,4,3,5,6,6
,Kathy Coder Lieutenant Governor - Republican,Diana Irey Vaughan Lieutenant Governor - Republican,Jeff Bartos Lieutenant Governor - Republican,Peg Luksik Lieutenant Governor - Republican,Write In,7
Kathy Coder,3,0,0,0,0,7
Diana Irey Vaughan,,2,0,0,0,7
Peg Luksik,,,0,2,0,7
Jeff Bartos,,,0,,0,7
Write In,,,,,0,7
Total,3,2,0,2,0,7
1,2,3,5,4,6,7
,Kathy Coder Lieutenant Governor - Republican,Diana Irey Vaughan Lieutenant Governor - Republican,Jeff Bartos Lieutenant Governor - Republican,Peg Luksik Lieutenant Governor - Republican,Write In,8
Kathy Coder,5,0,0,0,0,8
Diana Irey Vaughan,,1,0,0,0,8
Jeff Bartos,,,0,0,0,8
Peg Luksik,,,,0,0,8
Write In,,,,,0,8
Total,5,1,0,0,0,8
1,2,3,4,5,6,8
,Kathy Coder Lieutenant Governor - Republican,Diana Irey Vaughan Lieutenant Governor - Republican,Jeff Bartos Lieutenant Governor - Republican,Peg Luksik Lieutenant Governor - Republican,Write In,9
Jeff Bartos,0,0,9,0,0,9
Kathy Coder,7,0,,0,0,9
Diana Irey Vaughan,,3,,0,0,9
Peg Luksik,,,,0,0,9
Write In,,,,,0,9
Total,7,3,9,0,0,9
1,3,4,2,5,6,9
,Kathy Coder Lieutenant Governor - Republican,Diana Irey Vaughan Lieutenant Governor - Republican,Jeff Bartos Lieutenant Governor - Republican,Peg Luksik Lieutenant Governor - Republican,Write In,10
Kathy Coder,2,0,0,0,0,10
Write In,,0,0,0,1,10
Diana Irey Vaughan,,0,0,0,,10
Jeff Bartos,,,0,0,,10
Peg Luksik,,,,0,,10
Total,2,0,0,0,1,10
1,2,4,5,6,3,10
,Kathy Coder Lieutenant Governor - Republican,Diana Irey Vaughan Lieutenant Governor - Republican,Jeff Bartos Lieutenant Governor - Republican,Peg Luksik Lieutenant Governor - Republican,Write In,11
Jeff Bartos,0,0,2,0,0,11
Kathy Coder,2,0,,0,0,11
Diana Irey Vaughan,,0,,0,0,11
Peg Luksik,,,,0,0,11
Write In,,,,,0,11
Total,2,0,2,0,0,11
1,3,4,2,5,6,11
,Kathy Coder Lieutenant Governor - Republican,Diana Irey Vaughan Lieutenant Governor - Republican,Jeff Bartos Lieutenant Governor - Republican,Peg Luksik Lieutenant Governor - Republican,Write In,12
Kathy Coder,4,0,0,0,0,12
Diana Irey Vaughan,,3,0,0,0,12
Peg Luksik,,,0,2,0,12
Jeff Bartos,,,0,,0,12
Write In,,,,,0,12
Total,4,3,0,2,0,12
1,2,3,5,4,6,12
,Kathy Coder Lieutenant Governor - Republican,Diana Irey Vaughan Lieutenant Governor - Republican,Jeff Bartos Lieutenant Governor - Republican,Peg Luksik Lieutenant Governor - Republican,Write In,13
Diana Irey Vaughan,0,2,0,0,0,13
Jeff Bartos,0,,0,0,0,13
Kathy Coder,0,,,0,0,13
Peg Luksik,,,,0,0,13
Write In,,,,,0,13
Total,0,2,0,0,0,13
1,4,2,3,5,6,13
,Kathy Coder Lieutenant Governor - Republican,Diana Irey Vaughan Lieutenant Governor - Republican,Jeff Bartos Lieutenant Governor - Republican,Peg Luksik Lieutenant Governor - Republican,Write In,14
Diana Irey Vaughan,0,6,0,0,0,14
Kathy Coder,6,,0,0,0,14
Jeff Bartos,,,5,0,0,14
Peg Luksik,,,,0,0,14
Write In,,,,,0,14
Total,6,6,5,0,0,14
1,3,2,4,5,6,14
,Kathy Coder Lieutenant Governor - Republican,Diana Irey Vaughan Lieutenant Governor - Republican,Jeff Bartos Lieutenant Governor - Republican,Peg Luksik Lieutenant Governor - Republican,Write In,15
Kathy Coder,3,0,0,0,0,15
Jeff Bartos,,0,2,0,0,15
Peg Luksik,,0,,2,0,15
Diana Irey Vaughan,,0,,,0,15
Write In,,,,,0,15
Total,3,0,2,2,0,15
1,2,5,3,4,6,15
,Kathy Coder Lieutenant Governor - Republican,Diana Irey Vaughan Lieutenant Governor - Republican,Jeff Bartos Lieutenant Governor - Republican,Peg Luksik Lieutenant Governor - Republican,Write In,16
Kathy Coder,6,0,0,0,0,16
Diana Irey Vaughan,,3,0,0,0,16
Jeff Bartos,,,1,0,0,16
Peg Luksik,,,,1,0,16
Write In,,,,,0,16
Total,6,3,1,1,0,16
1,2,3,4,5,6,16
,Kathy Coder Lieutenant Governor - Republican,Diana Irey Vaughan Lieutenant Governor - Republican,Jeff Bartos Lieutenant Governor - Republican,Peg Luksik Lieutenant Governor - Republican,Write In,17
Jeff Bartos,0,0,5,0,0,17
Kathy Coder,4,0,,0,0,17
Peg Luksik,,0,,4,0,17
Diana Irey Vaughan,,1,,,0,17
Write In,,,,,0,17
Total,4,1,5,4,0,17
1,3,5,2,4,6,17
,Kathy Coder Lieutenant Governor - Republican,Diana Irey Vaughan Lieutenant Governor - Republican,Jeff Bartos Lieutenant Governor - Republican,Peg Luksik Lieutenant Governor - Republican,Write In,18
Kathy Coder,2,0,0,0,0,18
Diana Irey Vaughan,,1,0,0,0,18
Jeff Bartos,,,1,0,0,18
Peg Luksik,,,,0,0,18
Write In,,,,,0,18
Total,2,1,1,0,0,18
1,2,3,4,5,6,18
,Kathy Coder Lieutenant Governor - Republican,Diana Irey Vaughan Lieutenant Governor - Republican,Jeff Bartos Lieutenant Governor - Republican,Peg Luksik Lieutenant Governor - Republican,Write In,19
Jeff Bartos,0,0,4,0,0,19
Kathy Coder,3,0,,0,0,19
Diana Irey Vaughan,,2,,0,0,19
Peg Luksik,,,,0,0,19
Write In,,,,,0,19
Total,3,2,4,0,0,19
1,3,4,2,5,6,19
