col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,order,division
Latrice Y Bryant,,,,,,,0,6,6,4,9,2
Dustin Morris,,,,,,,,0,6,4,10,2
Jonathan M Gary,,,,,,,,,0,4,11,2
Robert Taylor,,,,,,,,,,0,12,2
Total,39,14,12,12,12,11,9,6,6,4,13,2
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,3
,Tom Wolf,Jaime Bouldin,David Rodriguez,Barbara Carroll,Humberto Perez,Sharon Vaughn,Dustin Morris,Latrice Y Bryant,Robert Taylor,Jonathan M Gary,2,3
Tom Wolf,61,44,36,34,34,32,22,22,19,17,3,3
Jaime Bouldin,,2,31,30,30,29,23,19,19,18,4,3
David Rodriguez,,,0,30,30,30,22,20,20,19,5,3
Barbara Carroll,,,,0,30,33,24,21,20,19,6,3
Humberto Perez,,,,,0,28,23,21,20,19,7,3
Sharon Vaughn,,,,,,0,23,21,20,19,8,3
Dustin Morris,,,,,,,0,17,17,17,9,3
Latrice Y Bryant,,,,,,,,0,19,18,10,3
Robert Taylor,,,,,,,,,0,18,11,3
Jonathan M Gary,,,,,,,,,,0,12,3
Total,123,48,39,37,37,34,24,24,21,19,13,3
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,4
,Tom Wolf,Jaime Bouldin,David Rodriguez,Humberto Perez,Barbara Carroll,Sharon Vaughn,Latrice Y Bryant,Robert Taylor,Jonathan M Gary,Dustin Morris,2,4
Tom Wolf,51,34,23,23,22,19,18,17,16,15,3,4
Jaime Bouldin,,2,17,21,15,14,13,13,13,13,4,4
David Rodriguez,,,1,19,14,13,12,12,12,12,5,4
Humberto Perez,,,,0,15,15,13,13,13,13,6,4
Barbara Carroll,,,,,0,15,14,13,13,13,7,4
Sharon Vaughn,,,,,,0,16,15,15,14,8,4
Latrice Y Bryant,,,,,,,0,16,16,13,9,4
Robert Taylor,,,,,,,,0,16,13,10,4
Jonathan M Gary,,,,,,,,,0,13,11,4
Dustin Morris,,,,,,,,,,0,12,4
Total,106,37,25,25,22,19,18,17,16,15,13,4
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,5
,Tom Wolf,David Rodriguez,Humberto Perez,Jaime Bouldin,Dustin Morris,Barbara Carroll,Sharon Vaughn,Jonathan M Gary,Latrice Y Bryant,Robert Taylor,2,5
Tom Wolf,8,9,9,7,4,3,4,2,2,2,3,5
David Rodriguez,,0,5,6,3,3,2,2,2,2,4,5
Humberto Perez,,,1,5,1,1,1,1,1,1,5,5
Jaime Bouldin,,,,0,2,2,1,1,1,1,6,5
Dustin Morris,,,,,0,4,3,2,2,2,7,5
Barbara Carroll,,,,,,0,3,2,2,2,8,5
Sharon Vaughn,,,,,,,0,2,2,2,9,5
Jonathan M Gary,,,,,,,,0,2,2,10,5
Latrice Y Bryant,,,,,,,,,0,2,11,5
Robert Taylor,,,,,,,,,,0,12,5
Total,26,10,10,8,5,4,4,2,2,2,13,5
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,6
,Tom Wolf,Barbara Carroll,Jaime Bouldin,Sharon Vaughn,Humberto Perez,David Rodriguez,Latrice Y Bryant,Robert Taylor,Dustin Morris,Jonathan M Gary,2,6
Tom Wolf,68,68,60,60,46,44,43,36,31,28,3,6
Barbara Carroll,,1,40,53,34,37,42,35,30,28,4,6
Jaime Bouldin,,,4,42,35,36,36,31,28,27,5,6
Sharon Vaughn,,,,0,35,36,42,35,29,29,6,6
Humberto Perez,,,,,0,38,29,30,28,27,7,6
David Rodriguez,,,,,,2,30,32,28,29,8,6
Latrice Y Bryant,,,,,,,0,29,25,26,9,6
Robert Taylor,,,,,,,,0,27,29,10,6
Dustin Morris,,,,,,,,,0,24,11,6
Jonathan M Gary,,,,,,,,,,0,12,6
Total,176,71,65,62,49,48,44,37,31,29,13,6
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,7
,Tom Wolf,Jaime Bouldin,David Rodriguez,Humberto Perez,Barbara Carroll,Robert Taylor,Latrice Y Bryant,Sharon Vaughn,Dustin Morris,Jonathan M Gary,2,7
Tom Wolf,18,37,36,38,33,29,27,28,23,23,3,7
Jaime Bouldin,,1,27,27,26,24,25,24,25,24,4,7
David Rodriguez,,,1,29,28,26,27,26,25,25,5,7
Humberto Perez,,,,0,28,27,27,27,24,24,6,7
Barbara Carroll,,,,,1,28,29,28,25,25,7,7
Robert Taylor,,,,,,0,27,27,24,23,8,7
Latrice Y Bryant,,,,,,,0,28,25,25,9,7
Sharon Vaughn,,,,,,,,0,24,24,10,7
Dustin Morris,,,,,,,,,1,24,11,7
Jonathan M Gary,,,,,,,,,,0,12,7
Total,80,40,39,39,36,31,29,29,26,25,13,7
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,8
,Tom Wolf,David Rodriguez,Humberto Perez,Jaime Bouldin,Barbara Carroll,Sharon Vaughn,Jonathan M Gary,Latrice Y Bryant,Robert Taylor,Dustin Morris,2,8
Tom Wolf,11,16,14,12,11,9,8,8,8,8,3,8
David Rodriguez,,0,14,11,9,10,9,9,9,8,4,8
Humberto Perez,,,0,11,9,10,9,9,9,8,5,8
Jaime Bouldin,,,,0,9,9,9,9,9,8,6,8
Barbara Carroll,,,,,0,9,8,8,8,8,7,8
Sharon Vaughn,,,,,,0,9,9,9,8,8,8
Jonathan M Gary,,,,,,,0,9,9,8,9,8
Latrice Y Bryant,,,,,,,,0,9,8,10,8
Robert Taylor,,,,,,,,,0,8,11,8
Dustin Morris,,,,,,,,,,0,12,8
Total,31,17,15,13,11,10,9,9,9,8,13,8
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,9
,Tom Wolf,Barbara Carroll,Sharon Vaughn,Jaime Bouldin,Humberto Perez,David Rodriguez,Latrice Y Bryant,Dustin Morris,Jonathan M Gary,Robert Taylor,2,9
Tom Wolf,1,8,8,7,6,5,5,4,4,4,3,9
Barbara Carroll,,1,8,6,5,5,6,5,5,5,4,9
Sharon Vaughn,,,0,6,5,5,6,5,5,5,5,9
Jaime Bouldin,,,,0,5,5,6,5,5,5,6,9
Humberto Perez,,,,,0,5,5,5,5,5,7,9
David Rodriguez,,,,,,0,5,5,5,5,8,9
Latrice Y Bryant,,,,,,,0,5,5,5,9,9
Dustin Morris,,,,,,,,0,5,5,10,9
Jonathan M Gary,,,,,,,,,0,5,11,9
Robert Taylor,,,,,,,,,,0,12,9
Total,15,10,9,8,7,6,6,5,5,5,13,9
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,10
,Tom Wolf,David Rodriguez,Barbara Carroll,Humberto Perez,Jaime Bouldin,Robert Taylor,Latrice Y Bryant,Dustin Morris,Jonathan M Gary,Sharon Vaughn,2,10
Tom Wolf,16,18,17,17,18,14,13,10,9,9,3,10
David Rodriguez,,1,9,11,10,8,10,8,8,8,4,10
Barbara Carroll,,,0,9,9,10,11,8,9,10,5,10
Humberto Perez,,,,0,11,14,12,9,8,9,6,10
Jaime Bouldin,,,,,0,8,8,8,8,8,7,10
Robert Taylor,,,,,,0,13,9,9,10,8,10
Latrice Y Bryant,,,,,,,0,10,9,10,9,10
Dustin Morris,,,,,,,,0,8,8,10,10
Jonathan M Gary,,,,,,,,,0,9,11,10
Sharon Vaughn,,,,,,,,,,0,12,10
Total,54,19,18,18,18,16,15,10,10,10,13,10
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,11
,Tom Wolf,Barbara Carroll,Humberto Perez,David Rodriguez,Sharon Vaughn,Dustin Morris,Jaime Bouldin,Latrice Y Bryant,Jonathan M Gary,Robert Taylor,2,11
Tom Wolf,5,11,11,10,10,9,9,9,7,7,3,11
Barbara Carroll,,0,10,9,10,9,8,9,7,7,4,11
Humberto Perez,,,0,10,10,9,9,9,7,7,5,11
David Rodriguez,,,,0,9,8,9,8,7,7,6,11
Sharon Vaughn,,,,,0,9,8,9,7,7,7,11
Dustin Morris,,,,,,0,8,9,7,7,8,11
Jaime Bouldin,,,,,,,0,8,7,7,9,11
Latrice Y Bryant,,,,,,,,0,7,7,10,11
Jonathan M Gary,,,,,,,,,0,7,11,11
Robert Taylor,,,,,,,,,,0,12,11
Total,17,11,11,10,10,9,9,9,7,7,13,11
