col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,division
Jacque Whaumbush,,,,0,0,0,0,0,0,0,0,0,0,0,0,2
Joe Khan,,,,,0,0,0,0,0,0,0,0,0,0,0,2
John Brady,,,,,,0,0,0,0,0,0,0,0,0,0,2
Kathryn S Huggins,,,,,,,0,0,0,0,0,0,0,0,0,2
Ken Washington,,,,,,,,0,0,0,0,0,0,0,0,2
Kevin Bundy,,,,,,,,,0,0,0,0,0,0,0,2
Liam G Boyle,,,,,,,,,,0,0,0,0,0,0,2
Linda Norris,,,,,,,,,,,0,0,0,0,0,2
Lisa Rhodes,,,,,,,,,,,,0,0,0,0,2
Monica Maria Djerassi,,,,,,,,,,,,,0,0,0,2
Nat Lownes,,,,,,,,,,,,,,0,0,2
Rebecca Poyourow,,,,,,,,,,,,,,,0,2
Total,138,38,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,Representative In Congress 3rd District - Democrat,,Member Of The Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,3
,Dwight Evans,Kevin Johnson,Kathryn S Huggins,Monica Maria Djerassi,Rebecca Poyourow,Linda Norris,Lisa Rhodes,Nat Lownes,Dewayne Drummond,Joe Khan,Jacque Whaumbush,Ken Washington,Liam G Boyle,John Brady,Kevin Bundy,3
Dwight Evans,6,0,5,3,3,3,3,2,1,0,0,1,1,0,0,3
Kevin Johnson,,0,3,4,4,3,3,1,1,2,1,0,0,0,0,3
Kathryn S Huggins,,,0,6,6,5,5,3,2,1,1,1,0,0,0,3
Monica Maria Djerassi,,,,0,7,6,6,3,2,2,1,1,0,0,0,3
Rebecca Poyourow,,,,,0,6,6,3,2,2,1,1,0,0,0,3
Linda Norris,,,,,,0,6,3,2,2,1,1,0,0,0,3
Lisa Rhodes,,,,,,,0,3,2,2,1,1,0,0,0,3
Nat Lownes,,,,,,,,0,2,0,0,1,0,0,0,3
Dewayne Drummond,,,,,,,,,0,0,0,0,0,0,0,3
Joe Khan,,,,,,,,,,0,1,0,0,0,0,3
Jacque Whaumbush,,,,,,,,,,,0,0,0,0,0,3
Ken Washington,,,,,,,,,,,,0,0,0,0,3
Liam G Boyle,,,,,,,,,,,,,0,0,0,3
John Brady,,,,,,,,,,,,,,0,0,3
Kevin Bundy,,,,,,,,,,,,,,,0,3
Total,12,4,8,7,7,6,6,3,2,2,1,1,1,0,0,3
,Representative In Congress 3rd District - Democrat,,Member Of The Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,4
,Dwight Evans,Kevin Johnson,Dewayne Drummond,Jacque Whaumbush,Joe Khan,John Brady,Kathryn S Huggins,Ken Washington,Kevin Bundy,Liam G Boyle,Linda Norris,Lisa Rhodes,Monica Maria Djerassi,Nat Lownes,Rebecca Poyourow,4
Dwight Evans,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Kevin Johnson,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Dewayne Drummond,,,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Jacque Whaumbush,,,,0,0,0,0,0,0,0,0,0,0,0,0,4
Joe Khan,,,,,0,0,0,0,0,0,0,0,0,0,0,4
John Brady,,,,,,0,0,0,0,0,0,0,0,0,0,4
Kathryn S Huggins,,,,,,,0,0,0,0,0,0,0,0,0,4
Ken Washington,,,,,,,,0,0,0,0,0,0,0,0,4
Kevin Bundy,,,,,,,,,0,0,0,0,0,0,0,4
Liam G Boyle,,,,,,,,,,0,0,0,0,0,0,4
Linda Norris,,,,,,,,,,,0,0,0,0,0,4
Lisa Rhodes,,,,,,,,,,,,0,0,0,0,4
Monica Maria Djerassi,,,,,,,,,,,,,0,0,0,4
Nat Lownes,,,,,,,,,,,,,,0,0,4
Rebecca Poyourow,,,,,,,,,,,,,,,0,4
Total,58,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,Representative In Congress 3rd District - Democrat,,Member Of The Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,5
,Dwight Evans,Kevin Johnson,Dewayne Drummond,Jacque Whaumbush,Joe Khan,John Brady,Kathryn S Huggins,Ken Washington,Kevin Bundy,Liam G Boyle,Linda Norris,Lisa Rhodes,Monica Maria Djerassi,Nat Lownes,Rebecca Poyourow,5
Dwight Evans,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Kevin Johnson,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Dewayne Drummond,,,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Jacque Whaumbush,,,,0,0,0,0,0,0,0,0,0,0,0,0,5
Joe Khan,,,,,0,0,0,0,0,0,0,0,0,0,0,5
John Brady,,,,,,0,0,0,0,0,0,0,0,0,0,5
Kathryn S Huggins,,,,,,,0,0,0,0,0,0,0,0,0,5
Ken Washington,,,,,,,,0,0,0,0,0,0,0,0,5
Kevin Bundy,,,,,,,,,0,0,0,0,0,0,0,5
Liam G Boyle,,,,,,,,,,0,0,0,0,0,0,5
Linda Norris,,,,,,,,,,,0,0,0,0,0,5
Lisa Rhodes,,,,,,,,,,,,0,0,0,0,5
Monica Maria Djerassi,,,,,,,,,,,,,0,0,0,5
Nat Lownes,,,,,,,,,,,,,,0,0,5
Rebecca Poyourow,,,,,,,,,,,,,,,0,5
Total,43,13,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,Representative In Congress 3rd District - Democrat,,Member Of The Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,6
,Dwight Evans,Kevin Johnson,Kathryn S Huggins,Ken Washington,Monica Maria Djerassi,Dewayne Drummond,Liam G Boyle,Lisa Rhodes,Rebecca Poyourow,Kevin Bundy,Linda Norris,Joe Khan,Nat Lownes,John Brady,Jacque Whaumbush,6
Dwight Evans,11,0,30,17,16,17,18,17,16,12,13,10,11,8,4,6
Kevin Johnson,,4,6,5,4,3,2,3,4,6,4,3,2,1,1,6
Kathryn S Huggins,,,1,17,19,19,18,18,20,16,16,11,13,7,4,6
Ken Washington,,,,0,7,13,13,9,8,13,7,4,6,3,2,6
Monica Maria Djerassi,,,,,1,10,7,14,15,7,10,10,6,6,4,6
Dewayne Drummond,,,,,,0,13,7,8,11,5,7,6,4,1,6
Liam G Boyle,,,,,,,0,6,7,11,4,4,7,4,1,6
Lisa Rhodes,,,,,,,,0,15,5,13,7,6,5,4,6
Rebecca Poyourow,,,,,,,,,0,5,12,7,7,4,4,6
Kevin Bundy,,,,,,,,,,0,7,5,7,4,1,6
Linda Norris,,,,,,,,,,,0,6,7,3,4,6
Joe Khan,,,,,,,,,,,,0,4,2,1,6
Nat Lownes,,,,,,,,,,,,,0,3,3,6
John Brady,,,,,,,,,,,,,,0,1,6
Jacque Whaumbush,,,,,,,,,,,,,,,0,6
Total,47,12,37,22,21,20,20,20,20,18,17,13,13,9,5,6
,Representative In Congress 3rd District - Democrat,,Member Of The Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,7
,Dwight Evans,Kevin Johnson,Dewayne Drummond,Jacque Whaumbush,Joe Khan,John Brady,Kathryn S Huggins,Ken Washington,Kevin Bundy,Liam G Boyle,Linda Norris,Lisa Rhodes,Monica Maria Djerassi,Nat Lownes,Rebecca Poyourow,7
Dwight Evans,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Kevin Johnson,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Dewayne Drummond,,,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Jacque Whaumbush,,,,0,0,0,0,0,0,0,0,0,0,0,0,7
Joe Khan,,,,,0,0,0,0,0,0,0,0,0,0,0,7
John Brady,,,,,,0,0,0,0,0,0,0,0,0,0,7
Kathryn S Huggins,,,,,,,0,0,0,0,0,0,0,0,0,7
Ken Washington,,,,,,,,0,0,0,0,0,0,0,0,7
Kevin Bundy,,,,,,,,,0,0,0,0,0,0,0,7
Liam G Boyle,,,,,,,,,,0,0,0,0,0,0,7
Linda Norris,,,,,,,,,,,0,0,0,0,0,7
Lisa Rhodes,,,,,,,,,,,,0,0,0,0,7
Monica Maria Djerassi,,,,,,,,,,,,,0,0,0,7
Nat Lownes,,,,,,,,,,,,,,0,0,7
Rebecca Poyourow,,,,,,,,,,,,,,,0,7
Total,93,13,0,0,0,0,0,0,0,0,0,0,0,0,0,7
,Representative In Congress 3rd District - Democrat,,Member Of The Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,8
,Dwight Evans,Kevin Johnson,Dewayne Drummond,Jacque Whaumbush,Joe Khan,John Brady,Kathryn S Huggins,Ken Washington,Kevin Bundy,Liam G Boyle,Linda Norris,Lisa Rhodes,Monica Maria Djerassi,Nat Lownes,Rebecca Poyourow,8
Dwight Evans,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Kevin Johnson,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Dewayne Drummond,,,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Jacque Whaumbush,,,,0,0,0,0,0,0,0,0,0,0,0,0,8
Joe Khan,,,,,0,0,0,0,0,0,0,0,0,0,0,8
John Brady,,,,,,0,0,0,0,0,0,0,0,0,0,8
Kathryn S Huggins,,,,,,,0,0,0,0,0,0,0,0,0,8
Ken Washington,,,,,,,,0,0,0,0,0,0,0,0,8
Kevin Bundy,,,,,,,,,0,0,0,0,0,0,0,8
Liam G Boyle,,,,,,,,,,0,0,0,0,0,0,8
Linda Norris,,,,,,,,,,,0,0,0,0,0,8
Lisa Rhodes,,,,,,,,,,,,0,0,0,0,8
Monica Maria Djerassi,,,,,,,,,,,,,0,0,0,8
Nat Lownes,,,,,,,,,,,,,,0,0,8
Rebecca Poyourow,,,,,,,,,,,,,,,0,8
Total,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,Representative In Congress 3rd District - Democrat,,Member Of The Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,9
,Dwight Evans,Kevin Johnson,Dewayne Drummond,Jacque Whaumbush,Joe Khan,John Brady,Kathryn S Huggins,Ken Washington,Kevin Bundy,Liam G Boyle,Linda Norris,Lisa Rhodes,Monica Maria Djerassi,Nat Lownes,Rebecca Poyourow,9
Dwight Evans,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Kevin Johnson,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Dewayne Drummond,,,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Jacque Whaumbush,,,,0,0,0,0,0,0,0,0,0,0,0,0,9
Joe Khan,,,,,0,0,0,0,0,0,0,0,0,0,0,9
John Brady,,,,,,0,0,0,0,0,0,0,0,0,0,9
Kathryn S Huggins,,,,,,,0,0,0,0,0,0,0,0,0,9
Ken Washington,,,,,,,,0,0,0,0,0,0,0,0,9
Kevin Bundy,,,,,,,,,0,0,0,0,0,0,0,9
Liam G Boyle,,,,,,,,,,0,0,0,0,0,0,9
Linda Norris,,,,,,,,,,,0,0,0,0,0,9
Lisa Rhodes,,,,,,,,,,,,0,0,0,0,9
Monica Maria Djerassi,,,,,,,,,,,,,0,0,0,9
Nat Lownes,,,,,,,,,,,,,,0,0,9
Rebecca Poyourow,,,,,,,,,,,,,,,0,9
Total,21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,Representative In Congress 3rd District - Democrat,,Member Of The Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,10
,Dwight Evans,Kevin Johnson,Dewayne Drummond,Jacque Whaumbush,Joe Khan,John Brady,Kathryn S Huggins,Ken Washington,Kevin Bundy,Liam G Boyle,Linda Norris,Lisa Rhodes,Monica Maria Djerassi,Nat Lownes,Rebecca Poyourow,10
Dwight Evans,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Kevin Johnson,,21,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Dewayne Drummond,,,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Jacque Whaumbush,,,,0,0,0,0,0,0,0,0,0,0,0,0,10
Joe Khan,,,,,0,0,0,0,0,0,0,0,0,0,0,10
John Brady,,,,,,0,0,0,0,0,0,0,0,0,0,10
Kathryn S Huggins,,,,,,,0,0,0,0,0,0,0,0,0,10
Ken Washington,,,,,,,,0,0,0,0,0,0,0,0,10
Kevin Bundy,,,,,,,,,0,0,0,0,0,0,0,10
Liam G Boyle,,,,,,,,,,0,0,0,0,0,0,10
Linda Norris,,,,,,,,,,,0,0,0,0,0,10
Lisa Rhodes,,,,,,,,,,,,0,0,0,0,10
Monica Maria Djerassi,,,,,,,,,,,,,0,0,0,10
Nat Lownes,,,,,,,,,,,,,,0,0,10
Rebecca Poyourow,,,,,,,,,,,,,,,0,10
Total,55,21,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,Member Of The Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Representative In Congress 3rd District - Democrat,,11
,Monica Maria Djerassi,Rebecca Poyourow,Lisa Rhodes,Kathryn S Huggins,Joe Khan,Dewayne Drummond,Jacque Whaumbush,Linda Norris,Ken Washington,Nat Lownes,Kevin Bundy,John Brady,Liam G Boyle,Dwight Evans,Kevin Johnson,11
Monica Maria Djerassi,0,14,13,11,9,7,8,8,6,6,4,3,1,8,8,11
Rebecca Poyourow,,0,11,10,8,8,7,7,4,5,3,3,1,8,7,11
Lisa Rhodes,,,0,9,8,6,8,8,5,5,2,2,0,6,8,11
Kathryn S Huggins,,,,0,6,5,4,6,6,5,3,2,1,7,5,11
Joe Khan,,,,,0,4,6,4,2,4,3,2,0,5,5,11
Dewayne Drummond,,,,,,0,3,3,3,2,2,1,1,3,5,11
Jacque Whaumbush,,,,,,,0,5,2,3,1,1,0,3,5,11
Linda Norris,,,,,,,,0,3,1,0,2,0,3,5,11
Ken Washington,,,,,,,,,0,2,2,0,1,4,2,11
Nat Lownes,,,,,,,,,,0,2,1,0,3,3,11
Kevin Bundy,,,,,,,,,,,0,1,1,2,2,11
John Brady,,,,,,,,,,,,0,0,1,2,11
Liam G Boyle,,,,,,,,,,,,,0,1,1,11
Dwight Evans,,,,,,,,,,,,,,1,0,11
Kevin Johnson,,,,,,,,,,,,,,,0,11
Total,16,15,14,12,10,8,8,8,6,6,4,3,2,10,10,11
,Representative In Congress 3rd District - Democrat,,Member Of The Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,12
,Dwight Evans,Kevin Johnson,Dewayne Drummond,Jacque Whaumbush,Joe Khan,John Brady,Kathryn S Huggins,Ken Washington,Kevin Bundy,Liam G Boyle,Linda Norris,Lisa Rhodes,Monica Maria Djerassi,Nat Lownes,Rebecca Poyourow,12
Dwight Evans,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Kevin Johnson,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Dewayne Drummond,,,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Jacque Whaumbush,,,,0,0,0,0,0,0,0,0,0,0,0,0,12
Joe Khan,,,,,0,0,0,0,0,0,0,0,0,0,0,12
John Brady,,,,,,0,0,0,0,0,0,0,0,0,0,12
Kathryn S Huggins,,,,,,,0,0,0,0,0,0,0,0,0,12
Ken Washington,,,,,,,,0,0,0,0,0,0,0,0,12
Kevin Bundy,,,,,,,,,0,0,0,0,0,0,0,12
Liam G Boyle,,,,,,,,,,0,0,0,0,0,0,12
Linda Norris,,,,,,,,,,,0,0,0,0,0,12
Lisa Rhodes,,,,,,,,,,,,0,0,0,0,12
Monica Maria Djerassi,,,,,,,,,,,,,0,0,0,12
Nat Lownes,,,,,,,,,,,,,,0,0,12
Rebecca Poyourow,,,,,,,,,,,,,,,0,12
Total,55,11,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,Representative In Congress 3rd District - Democrat,,Member Of The Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,13
,Dwight Evans,Kevin Johnson,Kathryn S Huggins,Lisa Rhodes,Monica Maria Djerassi,Dewayne Drummond,Linda Norris,Rebecca Poyourow,Ken Washington,Liam G Boyle,Kevin Bundy,Jacque Whaumbush,Joe Khan,John Brady,Nat Lownes,13
Dwight Evans,14,0,29,22,21,23,20,19,20,15,14,8,11,7,9,13
Kevin Johnson,,7,7,8,8,5,7,6,3,5,1,5,2,3,1,13
Kathryn S Huggins,,,1,20,22,22,21,20,14,13,10,9,9,6,9,13
Lisa Rhodes,,,,0,19,16,23,14,10,12,9,8,9,7,7,13
Monica Maria Djerassi,,,,,0,13,20,16,10,13,7,8,7,4,7,13
Dewayne Drummond,,,,,,0,14,13,18,14,10,10,9,6,7,13
Linda Norris,,,,,,,0,16,9,11,4,7,8,6,7,13
Rebecca Poyourow,,,,,,,,0,8,6,4,9,5,4,6,13
Ken Washington,,,,,,,,,0,13,10,5,6,4,5,13
Liam G Boyle,,,,,,,,,,0,9,3,8,4,4,13
Kevin Bundy,,,,,,,,,,,0,1,5,4,3,13
Jacque Whaumbush,,,,,,,,,,,,1,3,3,2,13
Joe Khan,,,,,,,,,,,,,0,4,2,13
John Brady,,,,,,,,,,,,,,0,0,13
Nat Lownes,,,,,,,,,,,,,,,0,13
Total,58,20,37,30,29,28,27,25,23,20,15,14,13,10,10,13
,Representative In Congress 3rd District - Democrat,,Member Of The Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,14
,Dwight Evans,Kevin Johnson,Dewayne Drummond,Jacque Whaumbush,Joe Khan,John Brady,Kathryn S Huggins,Ken Washington,Kevin Bundy,Liam G Boyle,Linda Norris,Lisa Rhodes,Monica Maria Djerassi,Nat Lownes,Rebecca Poyourow,14
Dwight Evans,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Kevin Johnson,,27,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Dewayne Drummond,,,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Jacque Whaumbush,,,,0,0,0,0,0,0,0,0,0,0,0,0,14
Joe Khan,,,,,0,0,0,0,0,0,0,0,0,0,0,14
John Brady,,,,,,0,0,0,0,0,0,0,0,0,0,14
Kathryn S Huggins,,,,,,,0,0,0,0,0,0,0,0,0,14
Ken Washington,,,,,,,,0,0,0,0,0,0,0,0,14
Kevin Bundy,,,,,,,,,0,0,0,0,0,0,0,14
Liam G Boyle,,,,,,,,,,0,0,0,0,0,0,14
Linda Norris,,,,,,,,,,,0,0,0,0,0,14
Lisa Rhodes,,,,,,,,,,,,0,0,0,0,14
Monica Maria Djerassi,,,,,,,,,,,,,0,0,0,14
Nat Lownes,,,,,,,,,,,,,,0,0,14
Rebecca Poyourow,,,,,,,,,,,,,,,0,14
Total,85,27,0,0,0,0,0,0,0,0,0,0,0,0,0,14
,Representative In Congress 3rd District - Democrat,,Member Of The Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,15
,Dwight Evans,Kevin Johnson,Dewayne Drummond,Jacque Whaumbush,Joe Khan,John Brady,Kathryn S Huggins,Ken Washington,Kevin Bundy,Liam G Boyle,Linda Norris,Lisa Rhodes,Monica Maria Djerassi,Nat Lownes,Rebecca Poyourow,15
Dwight Evans,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Kevin Johnson,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Dewayne Drummond,,,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Jacque Whaumbush,,,,0,0,0,0,0,0,0,0,0,0,0,0,15
Joe Khan,,,,,0,0,0,0,0,0,0,0,0,0,0,15
John Brady,,,,,,0,0,0,0,0,0,0,0,0,0,15
Kathryn S Huggins,,,,,,,0,0,0,0,0,0,0,0,0,15
Ken Washington,,,,,,,,0,0,0,0,0,0,0,0,15
Kevin Bundy,,,,,,,,,0,0,0,0,0,0,0,15
Liam G Boyle,,,,,,,,,,0,0,0,0,0,0,15
Linda Norris,,,,,,,,,,,0,0,0,0,0,15
Lisa Rhodes,,,,,,,,,,,,0,0,0,0,15
Monica Maria Djerassi,,,,,,,,,,,,,0,0,0,15
Nat Lownes,,,,,,,,,,,,,,0,0,15
Rebecca Poyourow,,,,,,,,,,,,,,,0,15
Total,74,16,0,0,0,0,0,0,0,0,0,0,0,0,0,15
,Representative In Congress 3rd District - Democrat,,Member Of The Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,16
,Dwight Evans,Kevin Johnson,Dewayne Drummond,Jacque Whaumbush,Joe Khan,John Brady,Kathryn S Huggins,Ken Washington,Kevin Bundy,Liam G Boyle,Linda Norris,Lisa Rhodes,Monica Maria Djerassi,Nat Lownes,Rebecca Poyourow,16
Dwight Evans,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Kevin Johnson,,19,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Dewayne Drummond,,,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Jacque Whaumbush,,,,0,0,0,0,0,0,0,0,0,0,0,0,16
Joe Khan,,,,,0,0,0,0,0,0,0,0,0,0,0,16
John Brady,,,,,,0,0,0,0,0,0,0,0,0,0,16
Kathryn S Huggins,,,,,,,0,0,0,0,0,0,0,0,0,16
Ken Washington,,,,,,,,0,0,0,0,0,0,0,0,16
Kevin Bundy,,,,,,,,,0,0,0,0,0,0,0,16
Liam G Boyle,,,,,,,,,,0,0,0,0,0,0,16
Linda Norris,,,,,,,,,,,0,0,0,0,0,16
Lisa Rhodes,,,,,,,,,,,,0,0,0,0,16
Monica Maria Djerassi,,,,,,,,,,,,,0,0,0,16
Nat Lownes,,,,,,,,,,,,,,0,0,16
Rebecca Poyourow,,,,,,,,,,,,,,,0,16
Total,49,19,0,0,0,0,0,0,0,0,0,0,0,0,0,16
,Representative In Congress 3rd District - Democrat,,Member Of The Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,17
,Dwight Evans,Kevin Johnson,Dewayne Drummond,Jacque Whaumbush,Joe Khan,John Brady,Kathryn S Huggins,Ken Washington,Kevin Bundy,Liam G Boyle,Linda Norris,Lisa Rhodes,Monica Maria Djerassi,Nat Lownes,Rebecca Poyourow,17
Dwight Evans,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Kevin Johnson,,15,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Dewayne Drummond,,,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Jacque Whaumbush,,,,0,0,0,0,0,0,0,0,0,0,0,0,17
Joe Khan,,,,,0,0,0,0,0,0,0,0,0,0,0,17
John Brady,,,,,,0,0,0,0,0,0,0,0,0,0,17
Kathryn S Huggins,,,,,,,0,0,0,0,0,0,0,0,0,17
Ken Washington,,,,,,,,0,0,0,0,0,0,0,0,17
Kevin Bundy,,,,,,,,,0,0,0,0,0,0,0,17
Liam G Boyle,,,,,,,,,,0,0,0,0,0,0,17
Linda Norris,,,,,,,,,,,0,0,0,0,0,17
Lisa Rhodes,,,,,,,,,,,,0,0,0,0,17
Monica Maria Djerassi,,,,,,,,,,,,,0,0,0,17
Nat Lownes,,,,,,,,,,,,,,0,0,17
Rebecca Poyourow,,,,,,,,,,,,,,,0,17
Total,63,15,0,0,0,0,0,0,0,0,0,0,0,0,0,17
,Member Of The Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Representative In Congress 3rd District - Democrat,,18
,Kathryn S Huggins,Monica Maria Djerassi,Rebecca Poyourow,Dewayne Drummond,Lisa Rhodes,Ken Washington,Liam G Boyle,Linda Norris,Kevin Bundy,Joe Khan,Jacque Whaumbush,Nat Lownes,John Brady,Dwight Evans,Kevin Johnson,18
Kathryn S Huggins,0,11,10,9,10,7,7,8,5,3,4,2,1,11,3,18
Monica Maria Djerassi,,0,10,6,9,5,6,7,4,4,4,1,1,9,2,18
Rebecca Poyourow,,,1,6,8,5,4,7,3,3,4,2,0,9,1,18
Dewayne Drummond,,,,0,6,4,6,4,3,2,1,1,1,7,3,18
Lisa Rhodes,,,,,0,4,4,8,2,3,3,2,1,8,1,18
Ken Washington,,,,,,0,5,3,4,1,2,1,0,5,2,18
Liam G Boyle,,,,,,,0,2,5,1,1,0,1,5,3,18
Linda Norris,,,,,,,,0,2,2,3,2,0,6,1,18
Kevin Bundy,,,,,,,,,0,1,1,0,0,3,3,18
Joe Khan,,,,,,,,,,0,0,0,1,5,0,18
