col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,division
,Brendan F Boyle,Michele Lawrence,David Rodriguez,Jaime Bouldin,Barbara Carroll,Sharon Vaughn,Jonathan M Gary,Dustin Morris,Humberto Perez,Latrice Y Bryant,Robert Taylor,4
Brendan F Boyle,8,0,21,22,19,20,19,16,17,17,16,4
Michele Lawrence,,7,15,15,15,14,12,11,11,11,10,4
David Rodriguez,,,0,28,28,26,26,24,25,25,23,4
Jaime Bouldin,,,,0,28,28,27,26,24,26,22,4
Barbara Carroll,,,,,0,30,29,28,22,26,24,4
Sharon Vaughn,,,,,,0,28,27,23,28,24,4
Jonathan M Gary,,,,,,,0,27,22,26,23,4
Dustin Morris,,,,,,,,0,22,24,23,4
Humberto Perez,,,,,,,,,0,21,20,4
Latrice Y Bryant,,,,,,,,,,0,23,4
Robert Taylor,,,,,,,,,,,0,4
Total,41,30,37,37,35,34,32,28,28,28,26,4
,Representative In Congress 2nd District - Democrat,,Member Of The Democratic State Committee 3rd Senatorial District,,,,,,,,,5
,Michele Lawrence,Brendan F Boyle,Jaime Bouldin,Humberto Perez,David Rodriguez,Sharon Vaughn,Barbara Carroll,Latrice Y Bryant,Dustin Morris,Jonathan M Gary,Robert Taylor,5
Michele Lawrence,12,0,40,32,33,20,19,15,13,13,12,5
Brendan F Boyle,,7,7,9,7,6,5,4,4,4,4,5
Jaime Bouldin,,,4,31,32,22,19,18,17,17,15,5
Humberto Perez,,,,0,32,20,18,17,15,14,15,5
David Rodriguez,,,,,0,17,17,16,15,15,14,5
Sharon Vaughn,,,,,,1,21,19,18,17,16,5
Barbara Carroll,,,,,,,0,17,16,16,14,5
Latrice Y Bryant,,,,,,,,0,15,16,16,5
Dustin Morris,,,,,,,,,0,15,15,5
Jonathan M Gary,,,,,,,,,,0,15,5
Robert Taylor,,,,,,,,,,,0,5
Total,67,18,51,41,40,28,25,19,18,17,16,5
,Member Of The Democratic State Committee 3rd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,6
,Jaime Bouldin,Humberto Perez,David Rodriguez,Barbara Carroll,Latrice Y Bryant,Sharon Vaughn,Jonathan M Gary,Robert Taylor,Dustin Morris,Brendan F Boyle,Michele Lawrence,6
Jaime Bouldin,0,62,62,56,58,56,53,50,45,43,42,6
Humberto Perez,,0,67,58,59,58,52,53,45,40,36,6
David Rodriguez,,,0,58,56,57,52,50,47,40,35,6
Barbara Carroll,,,,0,64,62,52,53,46,39,30,6
Latrice Y Bryant,,,,,0,64,54,53,45,39,31,6
Sharon Vaughn,,,,,,0,52,54,46,39,28,6
Jonathan M Gary,,,,,,,0,49,46,36,23,6
Robert Taylor,,,,,,,,0,44,31,24,6
Dustin Morris,,,,,,,,,0,26,22,6
Brendan F Boyle,,,,,,,,,,12,0,6
Michele Lawrence,,,,,,,,,,,5,6
Total,86,77,76,71,70,69,59,56,49,74,60,6
,Member Of The Democratic State Committee 3rd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,7
,Barbara Carroll,Jaime Bouldin,David Rodriguez,Humberto Perez,Sharon Vaughn,Latrice Y Bryant,Jonathan M Gary,Dustin Morris,Robert Taylor,Brendan F Boyle,Michele Lawrence,7
Barbara Carroll,1,44,42,44,46,43,41,40,38,39,22,7
Jaime Bouldin,,2,45,46,43,41,39,40,38,31,26,7
David Rodriguez,,,1,45,42,42,39,38,37,31,24,7
Humberto Perez,,,,0,43,40,39,39,38,29,24,7
Sharon Vaughn,,,,,0,43,41,39,39,30,19,7
Latrice Y Bryant,,,,,,1,43,40,41,27,19,7
Jonathan M Gary,,,,,,,0,39,40,25,19,7
Dustin Morris,,,,,,,,0,38,24,17,7
Robert Taylor,,,,,,,,,0,23,18,7
Brendan F Boyle,,,,,,,,,,5,0,7
Michele Lawrence,,,,,,,,,,,2,7
Total,63,60,57,54,50,48,45,42,42,60,40,7
,Member Of The Democratic State Committee 3rd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,8
,Jaime Bouldin,Humberto Perez,David Rodriguez,Sharon Vaughn,Barbara Carroll,Latrice Y Bryant,Jonathan M Gary,Robert Taylor,Dustin Morris,Brendan F Boyle,Michele Lawrence,8
Jaime Bouldin,0,72,79,71,70,67,65,64,62,53,43,8
Humberto Perez,,1,75,69,67,62,59,59,61,49,39,8
David Rodriguez,,,1,69,70,69,62,63,62,46,40,8
Sharon Vaughn,,,,0,74,73,66,64,63,44,38,8
Barbara Carroll,,,,,0,72,66,63,63,42,35,8
Latrice Y Bryant,,,,,,0,64,64,61,41,36,8
Jonathan M Gary,,,,,,,0,62,59,34,33,8
Robert Taylor,,,,,,,,0,59,34,30,8
Dustin Morris,,,,,,,,,0,32,32,8
Brendan F Boyle,,,,,,,,,,14,0,8
Michele Lawrence,,,,,,,,,,,7,8
Total,99,92,90,85,80,79,69,66,65,84,67,8
,Representative In Congress 2nd District - Democrat,,Member Of The Democratic State Committee 3rd Senatorial District,,,,,,,,,9
,Brendan F Boyle,Michele Lawrence,Jaime Bouldin,David Rodriguez,Humberto Perez,Latrice Y Bryant,Sharon Vaughn,Barbara Carroll,Jonathan M Gary,Robert Taylor,Dustin Morris,9
Brendan F Boyle,27,0,23,26,22,19,21,18,18,15,15,9
Michele Lawrence,,12,29,19,18,15,14,16,14,14,12,9
Jaime Bouldin,,,1,36,36,33,31,32,30,29,27,9
David Rodriguez,,,,1,34,29,32,31,29,28,27,9
Humberto Perez,,,,,0,29,29,28,28,27,26,9
Latrice Y Bryant,,,,,,0,31,32,32,30,27,9
Sharon Vaughn,,,,,,,0,31,30,28,27,9
Barbara Carroll,,,,,,,,0,30,28,27,9
Jonathan M Gary,,,,,,,,,0,30,27,9
Robert Taylor,,,,,,,,,,0,27,9
Dustin Morris,,,,,,,,,,,0,9
Total,66,46,56,48,42,35,35,34,33,30,27,9
,Representative In Congress 2nd District - Democrat,,Member Of The Democratic State Committee 3rd Senatorial District,,,,,,,,,10
,Brendan F Boyle,Michele Lawrence,Jaime Bouldin,David Rodriguez,Sharon Vaughn,Barbara Carroll,Humberto Perez,Jonathan M Gary,Latrice Y Bryant,Robert Taylor,Dustin Morris,10
Brendan F Boyle,26,0,27,19,19,17,17,14,14,14,12,10
Michele Lawrence,,2,16,13,12,13,10,11,11,9,10,10
Jaime Bouldin,,,0,25,27,26,26,24,23,23,22,10
David Rodriguez,,,,0,26,23,22,22,22,22,18,10
Sharon Vaughn,,,,,0,25,21,25,24,23,20,10
Barbara Carroll,,,,,,0,20,23,23,22,19,10
Humberto Perez,,,,,,,1,20,19,20,18,10
Jonathan M Gary,,,,,,,,0,23,21,19,10
Latrice Y Bryant,,,,,,,,,0,20,19,10
Robert Taylor,,,,,,,,,,0,18,10
Dustin Morris,,,,,,,,,,,0,10
Total,63,26,44,33,32,31,29,26,26,24,23,10
,Representative In Congress 2nd District - Democrat,,Member Of The Democratic State Committee 3rd Senatorial District,,,,,,,,,11
,Michele Lawrence,Brendan F Boyle,Jaime Bouldin,David Rodriguez,Sharon Vaughn,Humberto Perez,Barbara Carroll,Latrice Y Bryant,Dustin Morris,Jonathan M Gary,Robert Taylor,11
Michele Lawrence,15,0,27,26,21,21,18,17,17,16,15,11
Brendan F Boyle,,2,10,7,8,7,8,8,7,7,7,11
Jaime Bouldin,,,1,23,23,24,19,23,24,22,22,11
David Rodriguez,,,,0,23,25,21,21,21,22,21,11
Sharon Vaughn,,,,,0,24,22,21,23,23,23,11
Humberto Perez,,,,,,0,22,21,22,22,22,11
Barbara Carroll,,,,,,,0,19,20,21,20,11
Latrice Y Bryant,,,,,,,,0,21,20,20,11
Dustin Morris,,,,,,,,,0,22,22,11
Jonathan M Gary,,,,,,,,,,1,23,11
Robert Taylor,,,,,,,,,,,0,11
Total,58,17,39,34,30,29,27,26,25,25,23,11
,Member Of The Democratic State Committee 3rd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,12
,Jaime Bouldin,David Rodriguez,Humberto Perez,Barbara Carroll,Latrice Y Bryant,Jonathan M Gary,Robert Taylor,Dustin Morris,Sharon Vaughn,Brendan F Boyle,Michele Lawrence,12
Jaime Bouldin,4,27,25,24,20,17,20,18,15,16,20,12
David Rodriguez,,1,26,20,20,18,19,19,17,15,16,12
Humberto Perez,,,0,22,23,18,17,17,16,14,15,12
Barbara Carroll,,,,0,23,18,20,17,18,12,16,12
Latrice Y Bryant,,,,,1,18,18,18,17,8,14,12
Jonathan M Gary,,,,,,1,15,16,14,8,13,12
Robert Taylor,,,,,,,0,16,16,7,14,12
Dustin Morris,,,,,,,,0,14,6,13,12
Sharon Vaughn,,,,,,,,,0,8,11,12
Brendan F Boyle,,,,,,,,,,7,0,12
Michele Lawrence,,,,,,,,,,,6,12
Total,41,33,33,31,26,22,21,19,19,31,30,12
,Member Of The Democratic State Committee 3rd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,13
,Jaime Bouldin,Humberto Perez,David Rodriguez,Dustin Morris,Jonathan M Gary,Latrice Y Bryant,Robert Taylor,Sharon Vaughn,Barbara Carroll,Michele Lawrence,Brendan F Boyle,13
Jaime Bouldin,0,13,12,9,9,10,10,10,8,13,5,13
Humberto Perez,,0,12,9,9,10,10,10,8,8,6,13
David Rodriguez,,,1,9,9,10,10,9,8,8,4,13
Dustin Morris,,,,0,10,10,10,10,9,7,4,13
Jonathan M Gary,,,,,0,10,10,10,9,8,3,13
Latrice Y Bryant,,,,,,0,11,10,9,8,3,13
Robert Taylor,,,,,,,0,10,9,8,3,13
Sharon Vaughn,,,,,,,,0,9,8,3,13
Barbara Carroll,,,,,,,,,0,6,3,13
Michele Lawrence,,,,,,,,,,3,0,13
Brendan F Boyle,,,,,,,,,,,4,13
Total,19,15,14,11,11,11,11,11,9,19,12,13
,Member Of The Democratic State Committee 3rd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,14
,Jaime Bouldin,Humberto Perez,David Rodriguez,Jonathan M Gary,Sharon Vaughn,Robert Taylor,Dustin Morris,Latrice Y Bryant,Barbara Carroll,Brendan F Boyle,Michele Lawrence,14
Jaime Bouldin,1,29,29,18,20,19,19,18,15,30,22,14
Humberto Perez,,0,30,19,21,19,18,18,15,19,18,14
David Rodriguez,,,0,17,19,17,17,17,14,17,15,14
Jonathan M Gary,,,,0,19,19,18,18,14,13,11,14
Sharon Vaughn,,,,,0,18,19,19,16,15,8,14
Robert Taylor,,,,,,0,18,18,14,12,9,14
Dustin Morris,,,,,,,0,16,14,12,8,14
Latrice Y Bryant,,,,,,,,0,13,14,6,14
Barbara Carroll,,,,,,,,,0,12,6,14
Brendan F Boyle,,,,,,,,,,4,0,14
Michele Lawrence,,,,,,,,,,,3,14
Total,54,38,33,24,23,21,20,20,18,40,35,14
,Representative In Congress 2nd District - Democrat,,Member Of The Democratic State Committee 3rd Senatorial District,,,,,,,,,15
,Brendan F Boyle,Michele Lawrence,David Rodriguez,Jaime Bouldin,Barbara Carroll,Jonathan M Gary,Latrice Y Bryant,Sharon Vaughn,Humberto Perez,Dustin Morris,Robert Taylor,15
Brendan F Boyle,16,0,16,12,6,9,8,8,5,5,5,15
Michele Lawrence,,2,6,4,7,3,4,5,7,4,3,15
David Rodriguez,,,1,9,9,7,8,9,11,8,7,15
Jaime Bouldin,,,,1,8,6,6,8,9,7,6,15
Barbara Carroll,,,,,0,7,9,9,9,8,7,15
Jonathan M Gary,,,,,,1,7,7,7,7,7,15
Latrice Y Bryant,,,,,,,0,9,8,8,8,15
Sharon Vaughn,,,,,,,,0,9,8,8,15
Humberto Perez,,,,,,,,,0,8,7,15
Dustin Morris,,,,,,,,,,0,7,15
Robert Taylor,,,,,,,,,,,0,15
Total,52,11,23,18,14,13,13,13,12,10,8,15
,Representative In Congress 2nd District - Democrat,,Member Of The Democratic State Committee 3rd Senatorial District,,,,,,,,,16
,Brendan F Boyle,Michele Lawrence,Jaime Bouldin,David Rodriguez,Humberto Perez,Barbara Carroll,Sharon Vaughn,Latrice Y Bryant,Robert Taylor,Dustin Morris,Jonathan M Gary,16
Brendan F Boyle,11,0,42,36,31,34,28,24,25,24,21,16
Michele Lawrence,,2,15,16,15,10,11,10,9,9,8,16
Jaime Bouldin,,,2,45,40,35,36,31,31,31,24,16
David Rodriguez,,,,0,42,34,33,30,31,32,23,16
Humberto Perez,,,,,0,32,32,28,29,30,21,16
Barbara Carroll,,,,,,0,35,30,29,32,25,16
Sharon Vaughn,,,,,,,0,31,30,31,24,16
Latrice Y Bryant,,,,,,,,0,30,27,25,16
Robert Taylor,,,,,,,,,0,29,25,16
Dustin Morris,,,,,,,,,,0,22,16
Jonathan M Gary,,,,,,,,,,,0,16
Total,67,25,59,52,46,44,39,34,34,33,29,16
,Member Of The Democratic State Committee 3rd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,17
,Jaime Bouldin,Humberto Perez,David Rodriguez,Barbara Carroll,Sharon Vaughn,Jonathan M Gary,Latrice Y Bryant,Robert Taylor,Dustin Morris,Brendan F Boyle,Michele Lawrence,17
Jaime Bouldin,2,43,45,38,38,37,34,35,33,31,23,17
Humberto Perez,,0,46,40,39,37,37,36,33,32,22,17
David Rodriguez,,,0,37,39,35,36,35,34,30,20,17
Barbara Carroll,,,,1,40,39,36,38,33,26,17,17
Sharon Vaughn,,,,,0,38,38,37,34,27,17,17
Jonathan M Gary,,,,,,0,36,38,31,24,15,17
Latrice Y Bryant,,,,,,,0,36,32,25,13,17
Robert Taylor,,,,,,,,0,31,21,16,17
Dustin Morris,,,,,,,,,0,22,15,17
Brendan F Boyle,,,,,,,,,,13,0,17
Michele Lawrence,,,,,,,,,,,6,17
Total,59,57,54,46,45,41,40,40,37,56,40,17
,Member Of The Democratic State Committee 3rd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,18
,Jaime Bouldin,Humberto Perez,David Rodriguez,Latrice Y Bryant,Barbara Carroll,Sharon Vaughn,Jonathan M Gary,Robert Taylor,Dustin Morris,Brendan F Boyle,Michele Lawrence,18
Jaime Bouldin,2,55,55,47,48,48,44,44,39,41,38,18
Humberto Perez,,2,57,47,44,47,43,45,42,37,30,18
David Rodriguez,,,0,46,43,44,41,41,38,36,27,18
Latrice Y Bryant,,,,0,48,50,45,43,42,33,25,18
Barbara Carroll,,,,,1,49,44,42,40,29,26,18
Sharon Vaughn,,,,,,0,44,44,40,34,23,18
Jonathan M Gary,,,,,,,0,43,40,28,20,18
Robert Taylor,,,,,,,,0,40,28,18,18
Dustin Morris,,,,,,,,,0,26,17,18
Brendan F Boyle,,,,,,,,,,21,0,18
Michele Lawrence,,,,,,,,,,,4,18
Total,83,71,65,59,58,58,50,47,44,82,53,18
,Representative In Congress 2nd District - Democrat,,Member Of The Democratic State Committee 3rd Senatorial District,,,,,,,,,19
,Brendan F Boyle,Michele Lawrence,Jaime Bouldin,Humberto Perez,David Rodriguez,Sharon Vaughn,Barbara Carroll,Dustin Morris,Latrice Y Bryant,Robert Taylor,Jonathan M Gary,19
Brendan F Boyle,32,0,22,18,17,13,14,13,13,12,10,19
Michele Lawrence,,2,20,15,15,9,7,7,6,6,6,19
Jaime Bouldin,,,0,28,27,18,18,17,16,15,14,19
Humberto Perez,,,,1,28,18,16,19,17,14,14,19
David Rodriguez,,,,,0,18,16,18,16,15,13,19
Sharon Vaughn,,,,,,0,20,19,16,17,13,19
Barbara Carroll,,,,,,,0,18,15,15,13,19
Dustin Morris,,,,,,,,0,16,14,14,19
Latrice Y Bryant,,,,,,,,,0,15,14,19
Robert Taylor,,,,,,,,,,0,12,19
Jonathan M Gary,,,,,,,,,,,0,19
Total,60,28,42,34,32,23,22,21,19,18,16,19
,Member Of The Democratic State Committee 3rd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,20
,Jaime Bouldin,David Rodriguez,Humberto Perez,Barbara Carroll,Sharon Vaughn,Latrice Y Bryant,Jonathan M Gary,Dustin Morris,Robert Taylor,Brendan F Boyle,Michele Lawrence,20
Jaime Bouldin,1,59,60,57,55,55,52,50,47,46,32,20
David Rodriguez,,0,62,56,55,54,51,48,49,43,26,20
Humberto Perez,,,0,53,53,52,50,48,48,42,25,20
Barbara Carroll,,,,0,62,60,56,52,49,40,24,20
Sharon Vaughn,,,,,0,59,54,52,49,37,25,20
Latrice Y Bryant,,,,,,0,54,51,49,38,22,20
Jonathan M Gary,,,,,,,0,47,46,38,17,20
Dustin Morris,,,,,,,,0,46,34,18,20
Robert Taylor,,,,,,,,,0,35,15,20
Brendan F Boyle,,,,,,,,,,17,0,20
Michele Lawrence,,,,,,,,,,,1,20
Total,80,70,68,66,64,61,57,53,51,73,44,20
,Representative In Congress 2nd District - Democrat,,Member Of The Democratic State Committee 3rd Senatorial District,,,,,,,,,21
,Brendan F Boyle,Michele Lawrence,Jaime Bouldin,David Rodriguez,Humberto Perez,Sharon Vaughn,Barbara Carroll,Latrice Y Bryant,Dustin Morris,Jonathan M Gary,Robert Taylor,21
Brendan F Boyle,28,0,53,53,48,43,40,42,37,39,39,21
Michele Lawrence,,6,37,29,31,27,28,23,23,21,20,21
Jaime Bouldin,,,0,73,71,62,59,59,58,57,55,21
David Rodriguez,,,,1,73,60,60,60,58,57,56,21
Humberto Perez,,,,,0,62,60,59,58,57,56,21
Sharon Vaughn,,,,,,0,63,60,57,59,58,21
Barbara Carroll,,,,,,,0,60,57,58,57,21
Latrice Y Bryant,,,,,,,,0,57,57,56,21
Dustin Morris,,,,,,,,,0,55,54,21
Jonathan M Gary,,,,,,,,,,0,56,21
Robert Taylor,,,,,,,,,,,0,21
Total,97,53,91,84,80,70,68,65,60,60,59,21
,Member Of The Democratic State Committee 3rd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,22
,Jaime Bouldin,David Rodriguez,Humberto Perez,Barbara Carroll,Sharon Vaughn,Latrice Y Bryant,Robert Taylor,Jonathan M Gary,Dustin Morris,Michele Lawrence,Brendan F Boyle,22
Jaime Bouldin,1,57,53,40,39,38,35,35,35,33,35,22
David Rodriguez,,1,55,43,39,38,36,35,36,34,30,22
Humberto Perez,,,0,41,39,34,35,32,35,30,28,22
Barbara Carroll,,,,0,43,38,35,35,35,28,23,22
Sharon Vaughn,,,,,0,40,34,35,35,23,23,22
Latrice Y Bryant,,,,,,0,34,35,33,20,21,22
Robert Taylor,,,,,,,0,32,34,15,22,22
Jonathan M Gary,,,,,,,,1,31,18,18,22
Dustin Morris,,,,,,,,,0,16,20,22
Michele Lawrence,,,,,,,,,,9,0,22
Brendan F Boyle,,,,,,,,,,,11,22
Total,72,69,62,55,49,42,39,38,37,60,56,22
